x,y,quantity,category,index
74.3507291,31.5760632,1,Container Point,321
74.3498323,31.5739866,1,Container Point,322
74.355998,31.5546383,1,Container Point,323
74.3576807,31.5541031,1,Container Point,324
74.3661906,31.5594112,1,Container Point,325
74.3593246,31.561489,2,Container Point,326
74.3553081,31.5657998,2,Container Point,327
74.3682219,31.5763436,2,Container Point,328
74.3659848,31.5759099,4,Container Point,329
74.3632481,31.5759481,3,Container Point,330
74.3619041,31.5764589,2,Container Point,331
74.3585754,31.5766032,1,Container Point,332
74.3586154,31.5766543,2,Container Point,333
74.3620889,31.5771967,1,Container Point,334
74.3638407,31.5769845,1,Container Point,335
74.3648812,31.5783662,2,Container Point,336
74.3664825,31.5782663,2,Container Point,337
74.3684412,31.5776248,2,Container Point,338
74.3072322,31.4881107,1,Container Point,339
74.3082116,31.4807687,1,Container Point,340
74.3087779,31.4823974,1,Container Point,341
74.311532,31.4813535,6,Container Point,342
74.3108891,31.4759202,6,Container Point,343
74.3105315,31.4768253,2,Container Point,344
74.3125018,31.4794819,3,Container Point,345
74.308624,31.4785702,5,Container Point,346
74.3090935,31.4769996,4,Container Point,347
74.3095919,31.4731881,1,Container Point,348
74.311827,31.4738898,2,Container Point,349
74.3093653,31.4701544,9,Container Point,350
74.310558,31.4671588,3,Container Point,351
74.3092234,31.4670434,2,Container Point,352
74.3135922,31.4649575,2,Container Point,353
74.3151332,31.4655233,2,Container Point,354
74.3176837,31.4687976,1,Container Point,355
74.3181148,31.4698161,1,Container Point,356
74.3181818,31.4698315,1,Container Point,357
74.3168719,31.4704372,1,Container Point,358
74.3053897,31.4752169,3,Container Point,359
74.3055499,31.4753348,1,Container Point,360
74.3062198,31.4761076,6,Container Point,361
74.3077686,31.4791189,2,Container Point,362
74.3006821,31.4844226,2,Container Point,363
74.3001684,31.4837706,2,Container Point,364
74.304107,31.4799045,5,Container Point,365
74.3050008,31.4788702,1,Container Point,366
74.3069163,31.4755105,1,Container Point,367
74.3094282,31.4749357,1,Container Point,368
